System,Stock,BroodYear,Escapement,Recruits,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4
Bristol_Bay,Alagnak,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Bristol_Bay,Alagnak,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,8.97384e-10,0
Bristol_Bay,Alagnak,1957,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,13499.39879,0,NA,8.98101e-10,1.56491e-06,0
Bristol_Bay,Alagnak,1958,NA,NA,NA,NA,NA,0,0,NA,NA,13119.73011,0,0,NA,20219.16203,8577.297063,0,0,2.31742e-07,6.47275e-09,0
Bristol_Bay,Alagnak,1959,NA,NA,NA,NA,0,0,0,NA,331299.9901,338122.2324,6.47275e-09,0,5.94689e-10,286853.6594,50738.89377,1.83384e-09,0,772.7989217,1312.321188,0
Bristol_Bay,Alagnak,1960,NA,NA,NA,0,0,0,0,0,121361.3428,116448.3441,1.83384e-09,0,8.07157e-06,166914.9386,43428.89416,0,0,1.83393e-09,1.0735e-09,0
Bristol_Bay,Alagnak,1961,NA,NA,0,0.000139744,727.0738165,0,0,4468.518531,50293.24503,232930.7438,1.07024e-09,0,6.47276e-09,6138.956317,1.0735e-09,8.08803e-10,0,1.07501e-09,8.08974e-10,0
Bristol_Bay,Alagnak,1962,NA,NA,0,0,1.83264e-09,0,0,11965.31397,110266.2436,104885.0295,8.08803e-10,0,0,1626.325711,22573.01663,0,0,812.6112988,2.15681e-09,0
Bristol_Bay,Alagnak,1963,203304,414873.3282,0,0,1.0735e-09,0,0,0,231001.9094,151684.1612,2.15711e-09,0,415.0233822,30953.02333,819.2109868,0,0,2.15688e-09,4.55316e-09,0
Bristol_Bay,Alagnak,1964,248700,381899.903,0,0,8.08974e-10,0,0,6377.297622,97650.42155,90731.09184,0,0,1880.281525,112243.2976,73017.51291,0,0,4.5546e-09,1.65844e-09,0
Bristol_Bay,Alagnak,1965,175020,259728.9081,0,0,0,0,0,8480.041847,110322.9586,88347.84888,5497.060303,0,509.9296836,29040.27188,17530.79694,9.71792e-10,0,1.65842e-09,6.49105e-10,0
Bristol_Bay,Alagnak,1966,174336,565583.8662,0,2.15688e-09,4.55316e-09,1.65856e-09,0,9662.46649,304544.0937,229247.617,9.71792e-10,0,0,13317.46263,8812.22642,0,0,6.49787e-10,4.46314e-10,0
Bristol_Bay,Alagnak,1967,202626,389348.7678,0,0,461.1695004,1.29572e-09,0,5829.784087,260360.1267,52163.06605,3.34789e-10,0,2325.189365,59199.56702,9009.86507,0,0,4.4631e-10,0,0
Bristol_Bay,Alagnak,1968,193872,249192.0859,0,410.6394392,6.49105e-10,0,0,8143.462512,182414.4477,52504.16838,2129.569334,0,0,685.3733358,2904.425243,2.47913e-09,0,9.26288e-10,2.47917e-09,0
Bristol_Bay,Alagnak,1969,182490,180184.6242,0,0,5.57892e-10,0,0,7.08522e-09,1353.562585,54756.5338,0,0,0,108529.1674,15545.36038,1.02687e-09,0,2.47915e-09,1.02732e-09,0
Bristol_Bay,Alagnak,1970,177060,145641.7546,0,0,0,0,0,4.46385e-10,78027.48004,58491.20163,0,0,9.26188e-10,8320.092751,802.9801249,0,0,1.0279e-09,6.41146e-09,0
Bristol_Bay,Alagnak,1971,187302,324752.4851,0,0,0,0,0,1232.554603,28837.9158,56203.80349,0,0,0,30123.16981,207343.1732,1.0104e-07,0,6.41137e-09,1011.868203,0
Bristol_Bay,Alagnak,1972,151188,124167.5566,0,0,1.02732e-09,0,0,1462.131056,70319.71726,27572.16095,1.49689e-08,0,1.0263e-09,2.97671e-08,2.13646e-07,0,0,24813.54735,7.59686e-09,0
Bristol_Bay,Alagnak,1973,35280,512939.7287,0,1.0279e-09,6.86943e-09,3098.548864,0,0,2.10659e-08,6686.64052,1377.892959,0,0,350599.5198,3.79843e-08,0,0,67511.86128,83665.26528,0
Bristol_Bay,Alagnak,1974,214848,2290908.617,0,6.41137e-09,1910.670007,0,0,0,722581.3598,2.84882e-08,1866.977846,0,6.38786e-08,1551297.185,0.212863894,0,0,0.139271383,13252.07246,0
Bristol_Bay,Alagnak,1975,100480,1022274.025,0,0,0,0,0,0,8.16423e-08,467274.9948,0,0,3.2255e-08,0.024200019,492798.3956,2.29134e-08,62200.61048,8.34139e-09,0,0
Bristol_Bay,Alagnak,1976,81822,344708.6273,0,2.46825e-08,77257.47128,0,0,3.79471e-08,0.01302035,157897.4174,2.20647e-08,0,1.461393776,1.8935e-06,94648.79976,14903.46447,0,0,6.67207e-09,0
Bristol_Bay,Alagnak,1977,108910.5,1002659.12,0,0.010013235,3286.812066,0,0,163393.6819,2.87778e-07,689174.6394,3.55844e-08,0,0,2.63081e-08,145046.2347,0,0,6.67208e-09,1757.742072,0
Bristol_Bay,Alagnak,1978,584970,2175584.171,0,0,8.48642e-09,0,0,0,561752.3807,1026219.175,15371.06085,0,0,512955.0871,2.14151e-08,16536.78176,0,42749.68539,3.99225e-09,0
Bristol_Bay,Alagnak,1979,750210,2108487.731,0,0,1044.816871,6.42586e-09,0,0,947783.0621,81154.7649,14173.23019,0,16623.33755,1047576.635,1.06793e-06,131.8850177,0,6.01992e-09,0,0
Bristol_Bay,Alagnak,1980,759645,643094.9961,0,0,4639.555523,0,0,0,1.71256e-08,368591.127,2.02246e-08,0,5.13037e-08,269864.3136,5.43051e-08,5.29329e-09,0,5.32327e-09,0,0
Bristol_Bay,Alagnak,1981,209635.5,1182706.205,0,0,3.99225e-09,0,0,0,174414.6562,1008291.548,9.26326e-09,0,4.34331e-07,1.59698e-08,1.13997e-07,4.6068e-09,0,6.76175e-09,5.79339e-09,0
Bristol_Bay,Alagnak,1982,610215,773488.0032,0,0,6006.848242,3.96997e-09,0,9.26299e-08,3.30043e-08,767481.155,4.6068e-09,9.16631e-09,0,2.299e-08,2.43322e-08,2.20318e-08,0,5.82092e-09,7.58249e-09,0
Bristol_Bay,Alagnak,1983,245361,456604.2529,0,0,12695.2073,4.6068e-09,0,6508.426705,3.11041e-08,434065.1723,9.79191e-09,0,0,8.14929e-08,1247.161118,7.82003e-09,0,7.61124e-09,2088.285455,0
Bristol_Bay,Alagnak,1984,549193.5,2467946.887,0,560.9568253,6532.226676,1631.854436,0,4.21669e-08,403722.288,1250869.725,25116.47654,0,1.18252e-07,4.31303e-08,772146.2427,4441.248429,2.32184e-08,3.1116e-08,2925.868057,0
Bristol_Bay,Alagnak,1985,300976.5,1645392.705,1.96779e-08,5.82092e-09,39050.59914,0,0,6814.911564,86570.42681,792074.1818,1.64782e-08,0,2.9023e-08,1.13149e-08,720017.3639,1.17603e-08,0,8.29806e-09,865.2218988,0
Bristol_Bay,Alagnak,1986,586959,2032311.186,0,1.01483e-08,4.05342e-08,2446.310504,0,1.97356e-07,9.33481e-08,954824.0797,1.71701e-07,0,3.99423e-08,1.34844e-07,1066241.369,2.40913e-08,0,4.75304e-09,8799.426544,0
Bristol_Bay,Alagnak,1987,393235.5,770409.0316,0,2.54586e-08,2.25346e-08,4.70413e-09,0,1.33141e-08,2.69687e-08,394531.9947,1.07073e-08,0,3.48686e-08,1.18826e-08,374484.4063,1.65059e-08,0,1392.630624,8.24404e-09,0
Bristol_Bay,Alagnak,1988,496306.5,1273820.866,0,1.45216e-08,7.09261e-09,0,0,0,9.50608e-09,638576.4148,19833.51353,0,9.66769e-09,615410.9378,1.37401e-08,6.5882e-09,0,9.53502e-08,2.02332e-08,0
Bristol_Bay,Alagnak,1989,501738,2741824.98,0,7.12956e-09,5.34468e-09,1365.064269,0,0,712704.8419,1322636.532,12148.05425,0,7.71666e-08,691211.9099,4.49177e-06,1758.577045,0,1.72377e-08,6.54188e-09,0
Bristol_Bay,Alagnak,1990,430338,1283664.681,0,0,3138.081058,240.7624705,0,100366.2567,3.46728e-08,1174114.761,4214.611001,0,5.06418e-08,1.75825e-07,1.47192e-08,0.001731756,0,1.47283e-08,1590.206915,0
Bristol_Bay,Alagnak,1991,707851.95,3434249.088,0,8.6682e-09,6.7444e-09,3.27272e-09,0,23838.29849,1012274.363,2341905.265,0.003800496,0,3.29127e-07,8.18237e-09,53630.10723,5.46084e-09,0,2601.051263,4.69372e-09,0
Bristol_Bay,Alagnak,1992,577939.65,186844.2374,0,6.8951e-09,35663.28234,824.6365408,0,0,3.1093e-08,150356.3157,8.58131e-09,0,1.17132e-08,0.002857406,1.17343e-08,3.53155e-09,0,1.57423e-08,3.53153e-09,0
Bristol_Bay,Alagnak,1993,887336.25,1506976.675,0,0,10456.94931,0,0,3.01197e-08,1463.539014,957262.2413,38.87584698,0,0,226712.7831,311042.2866,0,0,3.53165e-09,5.36897e-09,0
Bristol_Bay,Alagnak,1994,618464.25,1563841.369,0,0.000896386,1616.278774,0,0,593413.3826,9.6028e-08,688616.3289,11052.97876,3.10881e-09,4.46891e-08,1106.665777,259857.1408,66.4397763,0,8112.152511,6.24558e-09,0
Bristol_Bay,Alagnak,1995,550068.15,3896348.935,0,0,0,11.84545132,0,0,2028132.493,1861831.561,974.4500521,0,3.53232e-09,1922.911696,3421.648479,43.22101218,0,5.62016e-09,10.80525305,0
