System,Stock,BroodYear,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,
Bristol_Bay,Alagnak,1955,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,
Bristol_Bay,Alagnak,1956,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,
Bristol_Bay,Alagnak,1957,NA,#VALUE!,#VALUE!,#VALUE!,13499.39879,8.97384E-10,0,
Bristol_Bay,Alagnak,1958,NA,#VALUE!,#VALUE!,33338.89214,8577.297063,1.56491E-06,0,
Bristol_Bay,Alagnak,1959,NA,#VALUE!,331299.9901,624975.8918,51511.69269,6.47275E-09,0,
Bristol_Bay,Alagnak,1960,NA,0,121361.3428,283363.2827,43428.89416,1312.321188,0,
Bristol_Bay,Alagnak,1961,0,4468.518671,51020.31885,239069.7001,3.21875E-09,1.0735E-09,0,
Bristol_Bay,Alagnak,1962,0,11965.31397,110266.2436,106511.3552,23385.62793,1.61778E-09,0,
Bristol_Bay,Alagnak,1963,0,0,231416.9328,182637.1845,819.2109868,2.15681E-09,0,
Bristol_Bay,Alagnak,1964,0,6377.297622,99530.70308,202974.3894,73017.51291,4.55316E-09,0,
Bristol_Bay,Alagnak,1965,0,8480.041847,110832.8883,117388.1208,23027.85724,1.65844E-09,0,
Bristol_Bay,Alagnak,1966,0,9662.46649,304544.0937,242565.0796,8812.22642,1.6209E-09,0,
Bristol_Bay,Alagnak,1967,0,5829.784087,263146.4856,111362.6331,9009.86507,4.46314E-10,0,
Bristol_Bay,Alagnak,1968,0,8554.101951,182414.4477,53189.54172,5033.994577,0,0,
Bristol_Bay,Alagnak,1969,0,7.08522E-09,1353.562585,163285.7012,15545.36038,4.9583E-09,0,
Bristol_Bay,Alagnak,1970,0,4.46385E-10,78027.48004,66811.29438,802.9801249,2.05419E-09,0,
Bristol_Bay,Alagnak,1971,0,1232.554603,28837.9158,86326.9733,207343.1732,6.41146E-09,0,
Bristol_Bay,Alagnak,1972,0,1462.131056,70319.71726,27572.16095,24813.54735,1011.868203,0,
Bristol_Bay,Alagnak,1973,0,1.0279E-09,2.79353E-08,360384.7092,68889.75424,7.59686E-09,0,
Bristol_Bay,Alagnak,1974,0,6.41137E-09,724492.0298,1551297.185,1867.329981,83665.26528,0,
Bristol_Bay,Alagnak,1975,0,0,1.13897E-07,529475.6295,492798.3956,13252.07246,0,
Bristol_Bay,Alagnak,1976,0,6.26296E-08,77258.94569,157897.4174,94648.79976,2.29134E-08,0,
Bristol_Bay,Alagnak,1977,0,163393.6919,3286.812066,689174.6394,145046.2347,14903.46447,0,
Bristol_Bay,Alagnak,1978,0,0,561752.3807,1539174.262,58120.74624,1757.742072,0,
Bristol_Bay,Alagnak,1979,0,0,965451.2165,1128731.4,14173.23019,16536.78176,0,
Bristol_Bay,Alagnak,1980,0,0,4639.555523,638455.4406,7.9853E-08,131.8850177,0,
Bristol_Bay,Alagnak,1981,0,0,174414.6562,1008291.548,1.30022E-07,5.29329E-09,0,
Bristol_Bay,Alagnak,1982,0,9.26299E-08,6006.848242,767481.155,3.47599E-08,1.04002E-08,0,
Bristol_Bay,Alagnak,1983,0,6508.426705,12695.2073,434065.1723,1247.161118,3.87806E-08,0,
Bristol_Bay,Alagnak,1984,0,560.9568253,410254.5147,1252501.579,797262.7192,2088.285455,0,
